system:index,saltmarsh,.geo
172,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.17379028242924,31.67949273635278]}"
173,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.62391319989227,34.75496494306438]}"
174,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.39115221532182,29.60168948418433]}"
175,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.06491446999395,53.160906125502905]}"
176,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-8.132672845955058,54.62372273416313]}"
177,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.43065979069567,20.342664019236008]}"
178,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.84317531772706,29.82159706573679]}"
179,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-152.62408118225616,57.84014060895308]}"
180,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.51891844030611,32.479083170747565]}"
181,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.24018035620752,54.86060847458545]}"
182,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.11235923984101,15.290718524404642]}"
183,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.12021575134952,29.867411145226882]}"
184,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.64665176729682,57.436707214855]}"
185,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.64440851121576,51.23051641145846]}"
186,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.1152775494161,44.36810629301261]}"
187,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[155.86556205347304,56.35037454176926]}"
188,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.44340671916646,56.57728898253785]}"
189,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.880793122787026,-28.512392370660997]}"
190,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.18229225765542,40.62859942827987]}"
191,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[33.019150319560225,46.15431640395587]}"
192,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.08408975408236,57.00740234057428]}"
193,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.44156638793234,58.341939526662244]}"
194,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.8062940739778,22.330456079935686]}"
195,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.46400850503714,39.44632668285016]}"
196,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[140.3124905503413,49.27344673347567]}"
197,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.20490401123273,56.47461154556299]}"
198,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-163.76876026009975,59.87751967333615]}"
199,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.385705778126265,-40.22274058291467]}"
200,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.110981013006494,45.83253986918426]}"
201,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-37.733149604505826,-12.100980613553045]}"
202,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.10778114010924,41.16139022329116]}"
203,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-159.5907857051883,56.571899090833135]}"
204,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.47616320706386,30.62199598388728]}"
205,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.4839511043446,39.308614949794645]}"
206,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[162.37978516779415,56.288390787165014]}"
207,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.2381720426095,39.30538101477181]}"
208,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.78509840755443,55.07997706696744]}"
209,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.50954102120507,29.593604646627252]}"
210,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.4595676337609,43.26641242856843]}"
211,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.70305020214136,37.98970844965036]}"
212,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-72.52543954762537,-42.58000971997271]}"
213,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[155.76180663815722,54.41486443060534]}"
214,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.48308938331529,14.898064913716]}"
215,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.22863325757905,29.50143749847659]}"
216,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.91991596850875,-35.00505591816325]}"
217,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[138.53894668490412,-7.424710570540464]}"
218,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.158113465623046,45.3210391464066]}"
219,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-70.84271535741269,42.82794473838969]}"
220,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.25051555625674,14.498404443811225]}"
221,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-3.000148470138172,48.84953175089967]}"
222,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.7934132252687,29.72134508002905]}"
223,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.031751259055774,47.719001965835254]}"
224,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.05018667361624,53.00918067401511]}"
225,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.19889444739283,29.332733888118945]}"
226,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[34.60916837245178,-19.663268169856412]}"
227,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.305126897140745,-39.23665989553667]}"
228,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-124.22932319805061,43.466377410813436]}"
229,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.68409117536459,39.330983000369216]}"
230,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.33943504653902,32.535138044476625]}"
231,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.35192620327014,30.028568907197926]}"
232,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[138.1772849515176,-7.582634397488675]}"
233,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-97.32406178644365,25.680543269002616]}"
234,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-89.77632693774301,29.43514183050857]}"
235,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[151.66414146964604,-32.84182288247503]}"
236,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.985355367749925,45.00330503041353]}"
237,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.1264004039644,29.15405897810757]}"
238,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[127.95724179561822,38.88200502136628]}"
239,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.07515526423292,31.89751385580859]}"
240,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.38064192649762,29.633220350656924]}"
241,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.8668359498456,51.89158662904202]}"
242,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.25931447175927,53.160636630917665]}"
243,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.44016402362394,43.72590069639557]}"
244,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[23.536174854280908,56.903107936088006]}"
245,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.07441374059636,36.51907649801829]}"
246,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-79.72229244634892,51.2097653283953]}"
247,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-0.9560320411242008,45.70614690870864]}"
248,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.71974679768904,57.71590360515935]}"
249,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[141.27728116548565,53.26115811121064]}"
250,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.85519113718962,-28.48625139589312]}"
251,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[145.20597322905397,43.34672181496872]}"
252,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.44208503782278,39.52286314505715]}"
253,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.122607140491069,53.24633590902267]}"
254,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.68529431342412,31.66520952333528]}"
255,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[19.460338747173815,40.92477397745407]}"
256,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[156.3673609711822,52.478545835685715]}"
257,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.44894425395505,52.20608681001226]}"
